code,trade_time,close,open,high,low,vol,amount,date,pre_close,change,pct_chg
000001.SZ,2025-01-02 13:01:00,11.6,11.61,11.61,11.6,812700.0,9430574.0,20250102,11.61,-0.01,-0.09
000001.SZ,2025-01-02 13:02:00,11.6,11.61,11.61,11.59,109700.0,1272402.0,20250102,11.6,0.0,0.0
000001.SZ,2025-01-02 13:03:00,11.59,11.6,11.6,11.59,285300.0,3306854.0,20250102,11.6,-0.01,-0.09
000001.SZ,2025-01-02 13:04:00,11.6,11.59,11.6,11.58,405400.0,4698717.0,20250102,11.59,0.01,0.09
000001.SZ,2025-01-02 13:05:00,11.59,11.6,11.6,11.59,221200.0,2563848.0,20250102,11.6,-0.01,-0.09
000001.SZ,2025-01-02 13:06:00,11.58,11.59,11.6,11.58,141000.0,1633963.0,20250102,11.59,-0.01,-0.09
000001.SZ,2025-01-02 13:07:00,11.58,11.58,11.59,11.58,151300.0,1752494.0,20250102,11.58,0.0,0.0
000001.SZ,2025-01-02 13:08:00,11.58,11.58,11.59,11.58,271200.0,3141341.0,20250102,11.58,0.0,0.0
000001.SZ,2025-01-02 13:09:00,11.58,11.58,11.59,11.57,1089700.0,12616115.0,20250102,11.58,0.0,0.0
000001.SZ,2025-01-02 13:10:00,11.58,11.58,11.59,11.58,731500.0,8470970.0,20250102,11.58,0.0,0.0
000001.SZ,2025-01-02 13:11:00,11.57,11.57,11.59,11.57,149700.0,1732846.0,20250102,11.58,-0.01,-0.09
000001.SZ,2025-01-02 13:12:00,11.56,11.58,11.58,11.56,1538900.0,17803568.0,20250102,11.57,-0.01,-0.09
000001.SZ,2025-01-02 13:13:00,11.57,11.57,11.57,11.56,241800.0,2796826.0,20250102,11.56,0.01,0.09
000001.SZ,2025-01-02 13:14:00,11.57,11.57,11.58,11.57,189600.0,2193767.0,20250102,11.57,0.0,0.0
000001.SZ,2025-01-02 13:15:00,11.57,11.56,11.57,11.56,159000.0,1839141.0,20250102,11.57,0.0,0.0
000001.SZ,2025-01-02 13:16:00,11.56,11.57,11.57,11.56,566800.0,6553084.0,20250102,11.57,-0.01,-0.09
000001.SZ,2025-01-02 13:17:00,11.56,11.57,11.57,11.55,539500.0,6236989.0,20250102,11.56,0.0,0.0
000001.SZ,2025-01-02 13:18:00,11.56,11.56,11.56,11.55,277100.0,3202978.0,20250102,11.56,0.0,0.0
000001.SZ,2025-01-02 13:19:00,11.56,11.56,11.56,11.55,180100.0,2080912.0,20250102,11.56,0.0,0.0
000001.SZ,2025-01-02 13:20:00,11.55,11.56,11.56,11.55,138400.0,1599097.0,20250102,11.56,-0.01,-0.09
000001.SZ,2025-01-02 13:21:00,11.56,11.56,11.57,11.55,763300.0,8820243.0,20250102,11.55,0.01,0.09
000001.SZ,2025-01-02 13:22:00,11.55,11.56,11.57,11.55,237300.0,2741997.0,20250102,11.56,-0.01,-0.09
000001.SZ,2025-01-02 13:23:00,11.56,11.55,11.56,11.54,1684700.0,19457072.0,20250102,11.55,0.01,0.09
000001.SZ,2025-01-02 13:24:00,11.55,11.55,11.56,11.54,298700.0,3449265.0,20250102,11.56,-0.01,-0.09
000001.SZ,2025-01-02 13:25:00,11.55,11.54,11.55,11.54,474700.0,5481119.0,20250102,11.55,0.0,0.0
000001.SZ,2025-01-02 13:26:00,11.54,11.54,11.55,11.54,418500.0,4831093.0,20250102,11.55,-0.01,-0.09
000001.SZ,2025-01-02 13:27:00,11.54,11.54,11.54,11.53,1169300.0,13488235.0,20250102,11.54,0.0,0.0
000001.SZ,2025-01-02 13:28:00,11.53,11.53,11.54,11.52,1326700.0,15296293.0,20250102,11.54,-0.01,-0.09
000001.SZ,2025-01-02 13:29:00,11.53,11.53,11.54,11.52,302200.0,3484412.0,20250102,11.53,0.0,0.0
000001.SZ,2025-01-02 13:30:00,11.53,11.54,11.54,11.53,371600.0,4286905.0,20250102,11.53,0.0,0.0
000001.SZ,2025-01-02 13:31:00,11.54,11.53,11.54,11.53,821500.0,9476275.0,20250102,11.53,0.01,0.09
000001.SZ,2025-01-02 13:32:00,11.53,11.54,11.55,11.53,1478200.0,17058796.0,20250102,11.54,-0.01,-0.09
000001.SZ,2025-01-02 13:33:00,11.54,11.54,11.55,11.53,1752500.0,20217616.0,20250102,11.53,0.01,0.09
000001.SZ,2025-01-02 13:34:00,11.54,11.54,11.55,11.53,629300.0,7261518.0,20250102,11.54,0.0,0.0
000001.SZ,2025-01-02 13:35:00,11.53,11.53,11.54,11.53,190640.0,2199160.2,20250102,11.54,-0.01,-0.09
000001.SZ,2025-01-02 13:36:00,11.53,11.54,11.54,11.53,566200.0,6528737.0,20250102,11.53,0.0,0.0
000001.SZ,2025-01-02 13:37:00,11.53,11.53,11.54,11.53,461100.0,5317495.0,20250102,11.53,0.0,0.0
000001.SZ,2025-01-02 13:38:00,11.53,11.53,11.54,11.52,770260.0,8879785.0,20250102,11.53,0.0,0.0
000001.SZ,2025-01-02 13:39:00,11.52,11.53,11.53,11.52,292858.0,3375976.2,20250102,11.53,-0.01,-0.09
000001.SZ,2025-01-02 13:40:00,11.52,11.53,11.53,11.52,302400.0,3485533.0,20250102,11.52,0.0,0.0
000001.SZ,2025-01-02 13:41:00,11.52,11.53,11.54,11.52,404200.0,4658406.0,20250102,11.52,0.0,0.0
000001.SZ,2025-01-02 13:42:00,11.52,11.52,11.53,11.52,540900.0,6232331.0,20250102,11.52,0.0,0.0
000001.SZ,2025-01-02 13:43:00,11.53,11.52,11.53,11.52,246000.0,2834472.0,20250102,11.52,0.01,0.09
000001.SZ,2025-01-02 13:44:00,11.52,11.52,11.53,11.52,750600.0,8648017.0,20250102,11.53,-0.01,-0.09
000001.SZ,2025-01-02 13:45:00,11.52,11.52,11.52,11.51,692042.0,7970962.0,20250102,11.52,0.0,0.0
000001.SZ,2025-01-02 13:46:00,11.52,11.52,11.53,11.51,578500.0,6662515.0,20250102,11.52,0.0,0.0
000001.SZ,2025-01-02 13:47:00,11.52,11.51,11.52,11.51,662000.0,7621329.0,20250102,11.52,0.0,0.0
000001.SZ,2025-01-02 13:48:00,11.51,11.52,11.52,11.51,288900.0,3326704.0,20250102,11.52,-0.01,-0.09
000001.SZ,2025-01-02 13:49:00,11.5,11.51,11.52,11.5,3616100.0,41620950.0,20250102,11.51,-0.01,-0.09
000001.SZ,2025-01-02 13:50:00,11.51,11.51,11.51,11.5,356900.0,4107103.0,20250102,11.5,0.01,0.09
000001.SZ,2025-01-02 13:51:00,11.51,11.51,11.52,11.5,710700.0,8179297.0,20250102,11.51,0.0,0.0
000001.SZ,2025-01-02 13:52:00,11.5,11.51,11.51,11.5,652300.0,7504009.0,20250102,11.51,-0.01,-0.09
000001.SZ,2025-01-02 13:53:00,11.51,11.51,11.51,11.5,533700.0,6138789.0,20250102,11.5,0.01,0.09
000001.SZ,2025-01-02 13:54:00,11.5,11.5,11.51,11.5,741800.0,8532402.0,20250102,11.51,-0.01,-0.09
000001.SZ,2025-01-02 13:55:00,11.49,11.5,11.51,11.49,3111900.0,35781956.0,20250102,11.5,-0.01,-0.09
000001.SZ,2025-01-02 13:56:00,11.5,11.5,11.5,11.49,682400.0,7844834.0,20250102,11.49,0.01,0.09
000001.SZ,2025-01-02 13:57:00,11.5,11.5,11.5,11.48,1565100.0,17981952.0,20250102,11.5,0.0,0.0
000001.SZ,2025-01-02 13:58:00,11.5,11.5,11.5,11.48,477700.0,5490974.0,20250102,11.5,0.0,0.0
000001.SZ,2025-01-02 13:59:00,11.5,11.51,11.51,11.5,325200.0,3740424.0,20250102,11.5,0.0,0.0
000001.SZ,2025-01-02 14:00:00,11.52,11.5,11.52,11.5,378800.0,4358409.0,20250102,11.5,0.02,0.17
000001.SZ,2025-01-02 14:01:00,11.48,11.51,11.51,11.48,1125800.0,12943797.0,20250102,11.52,-0.04,-0.35
000001.SZ,2025-01-02 14:02:00,11.49,11.5,11.5,11.48,596800.0,6859736.0,20250102,11.48,0.01,0.09
000001.SZ,2025-01-02 14:03:00,11.51,11.49,11.51,11.48,343500.0,3947844.0,20250102,11.49,0.02,0.17
000001.SZ,2025-01-02 14:04:00,11.49,11.5,11.51,11.48,1410700.0,16212625.0,20250102,11.51,-0.02,-0.17
000001.SZ,2025-01-02 14:05:00,11.5,11.49,11.5,11.48,301700.0,3466400.0,20250102,11.49,0.01,0.09
000001.SZ,2025-01-02 14:06:00,11.47,11.49,11.49,11.47,1275700.0,14646678.0,20250102,11.5,-0.03,-0.26
000001.SZ,2025-01-02 14:07:00,11.46,11.47,11.48,11.46,2114800.0,24248460.0,20250102,11.47,-0.01,-0.09
000001.SZ,2025-01-02 14:08:00,11.46,11.46,11.47,11.45,708100.0,8114227.0,20250102,11.46,0.0,0.0
000001.SZ,2025-01-02 14:09:00,11.45,11.46,11.47,11.45,631200.0,7232421.0,20250102,11.46,-0.01,-0.09
000001.SZ,2025-01-02 14:10:00,11.46,11.45,11.46,11.45,452377.0,5183544.5,20250102,11.45,0.01,0.09
000001.SZ,2025-01-02 14:11:00,11.46,11.45,11.46,11.45,674000.0,7719047.0,20250102,11.46,0.0,0.0
000001.SZ,2025-01-02 14:12:00,11.45,11.45,11.46,11.44,1198823.0,13727358.0,20250102,11.46,-0.01,-0.09
000001.SZ,2025-01-02 14:13:00,11.45,11.46,11.46,11.44,986700.0,11294677.0,20250102,11.45,0.0,0.0
000001.SZ,2025-01-02 14:14:00,11.45,11.45,11.45,11.43,1842100.0,21070280.0,20250102,11.45,0.0,0.0
000001.SZ,2025-01-02 14:15:00,11.44,11.44,11.45,11.42,681100.0,7786872.0,20250102,11.45,-0.01,-0.09
000001.SZ,2025-01-02 14:16:00,11.44,11.43,11.44,11.43,470464.0,5380483.0,20250102,11.44,0.0,0.0
000001.SZ,2025-01-02 14:17:00,11.44,11.44,11.45,11.43,1428936.0,16343484.0,20250102,11.44,0.0,0.0
000001.SZ,2025-01-02 14:18:00,11.44,11.43,11.45,11.43,1431468.0,16375664.0,20250102,11.44,0.0,0.0
000001.SZ,2025-01-02 14:19:00,11.43,11.43,11.45,11.43,850400.0,9724472.0,20250102,11.44,-0.01,-0.09
000001.SZ,2025-01-02 14:20:00,11.44,11.43,11.44,11.43,578200.0,6611575.0,20250102,11.43,0.01,0.09
000001.SZ,2025-01-02 14:21:00,11.44,11.44,11.45,11.43,292400.0,3345010.0,20250102,11.44,0.0,0.0
000001.SZ,2025-01-02 14:22:00,11.44,11.44,11.44,11.43,552900.0,6322363.0,20250102,11.44,0.0,0.0
000001.SZ,2025-01-02 14:23:00,11.44,11.44,11.45,11.43,551500.0,6308559.0,20250102,11.44,0.0,0.0
000001.SZ,2025-01-02 14:24:00,11.45,11.45,11.45,11.44,744200.0,8520309.0,20250102,11.44,0.01,0.09
000001.SZ,2025-01-02 14:25:00,11.46,11.46,11.47,11.45,851060.0,9754585.0,20250102,11.45,0.01,0.09
000001.SZ,2025-01-02 14:26:00,11.47,11.47,11.47,11.46,487000.0,5583885.0,20250102,11.46,0.01,0.09
000001.SZ,2025-01-02 14:27:00,11.48,11.47,11.48,11.47,357300.0,4098905.0,20250102,11.47,0.01,0.09
000001.SZ,2025-01-02 14:28:00,11.49,11.48,11.49,11.47,616100.0,7072536.0,20250102,11.48,0.01,0.09
000001.SZ,2025-01-02 14:29:00,11.5,11.48,11.5,11.48,634700.0,7291031.0,20250102,11.49,0.01,0.09
000001.SZ,2025-01-02 14:30:00,11.48,11.5,11.5,11.47,657900.0,7557803.0,20250102,11.5,-0.02,-0.17
000001.SZ,2025-01-02 14:31:00,11.47,11.47,11.48,11.47,460600.0,5285617.0,20250102,11.48,-0.01,-0.09
000001.SZ,2025-01-02 14:32:00,11.48,11.48,11.49,11.47,271029.0,3111070.0,20250102,11.47,0.01,0.09
000001.SZ,2025-01-02 14:33:00,11.46,11.48,11.49,11.46,888271.0,10190250.0,20250102,11.48,-0.02,-0.17
000001.SZ,2025-01-02 14:34:00,11.44,11.46,11.46,11.44,905200.0,10367818.0,20250102,11.46,-0.02,-0.17
000001.SZ,2025-01-02 14:35:00,11.45,11.44,11.45,11.44,349900.0,4004664.0,20250102,11.44,0.01,0.09
000001.SZ,2025-01-02 14:36:00,11.44,11.44,11.45,11.43,1007100.0,11520751.0,20250102,11.45,-0.01,-0.09
000001.SZ,2025-01-02 14:37:00,11.42,11.43,11.44,11.42,1454432.0,16622969.0,20250102,11.44,-0.02,-0.17
000001.SZ,2025-01-02 14:38:00,11.42,11.43,11.43,11.41,1367800.0,15621718.0,20250102,11.42,0.0,0.0
000001.SZ,2025-01-02 14:39:00,11.42,11.42,11.42,11.41,683200.0,7798740.0,20250102,11.42,0.0,0.0
000001.SZ,2025-01-02 14:40:00,11.4,11.41,11.41,11.4,2419300.0,27594348.0,20250102,11.42,-0.02,-0.18
000001.SZ,2025-01-02 14:41:00,11.4,11.4,11.41,11.4,2191308.0,24989108.0,20250102,11.4,0.0,0.0
000001.SZ,2025-01-02 14:42:00,11.41,11.42,11.42,11.4,1573500.0,17947944.0,20250102,11.4,0.01,0.09
000001.SZ,2025-01-02 14:43:00,11.42,11.42,11.42,11.41,566600.0,6465722.0,20250102,11.41,0.01,0.09
000001.SZ,2025-01-02 14:44:00,11.42,11.42,11.42,11.41,671100.0,7661074.0,20250102,11.42,0.0,0.0
000001.SZ,2025-01-02 14:45:00,11.4,11.42,11.43,11.4,1242200.0,14174423.0,20250102,11.42,-0.02,-0.18
000001.SZ,2025-01-02 14:46:00,11.39,11.4,11.41,11.39,1643900.0,18739300.0,20250102,11.4,-0.01,-0.09
000001.SZ,2025-01-02 14:47:00,11.39,11.39,11.4,11.39,993600.0,11323181.0,20250102,11.39,0.0,0.0
000001.SZ,2025-01-02 14:48:00,11.41,11.39,11.41,11.39,1207900.0,13772504.0,20250102,11.39,0.02,0.18
000001.SZ,2025-01-02 14:49:00,11.42,11.41,11.42,11.41,838024.0,9567797.0,20250102,11.41,0.01,0.09
000001.SZ,2025-01-02 14:50:00,11.42,11.42,11.43,11.41,582400.0,6651919.0,20250102,11.42,0.0,0.0
000001.SZ,2025-01-02 14:51:00,11.43,11.43,11.44,11.42,752300.0,8596333.0,20250102,11.42,0.01,0.09
000001.SZ,2025-01-02 14:52:00,11.42,11.43,11.43,11.42,344800.0,3940648.0,20250102,11.43,-0.01,-0.09
000001.SZ,2025-01-02 14:53:00,11.43,11.42,11.44,11.42,381000.0,4354313.0,20250102,11.42,0.01,0.09
000001.SZ,2025-01-02 14:54:00,11.43,11.42,11.43,11.42,716500.0,8184312.0,20250102,11.43,0.0,0.0
000001.SZ,2025-01-02 14:55:00,11.43,11.43,11.44,11.42,1485000.0,16980348.0,20250102,11.43,0.0,0.0
000001.SZ,2025-01-02 14:56:00,11.44,11.44,11.44,11.42,508300.0,5808855.0,20250102,11.43,0.01,0.09
000001.SZ,2025-01-02 14:57:00,11.43,11.42,11.44,11.42,756000.0,8637053.0,20250102,11.44,-0.01,-0.09
000001.SZ,2025-01-02 14:58:00,11.43,11.43,11.43,11.43,0.0,0.0,20250102,11.43,0.0,0.0
000001.SZ,2025-01-02 14:59:00,11.43,11.43,11.43,11.43,0.0,0.0,20250102,11.43,0.0,0.0
000001.SZ,2025-01-02 15:00:00,11.43,11.43,11.43,11.43,1092100.0,12482703.0,20250102,11.43,0.0,0.0
000002.SZ,2025-01-02 09:30:00,7.27,7.25,7.28,7.25,713010.0,5171861.5,20250102,7.26,0.01,0.14
000002.SZ,2025-01-02 09:31:00,7.31,7.28,7.31,7.27,2534260.0,18478344.0,20250102,7.27,0.04,0.55
000002.SZ,2025-01-02 09:32:00,7.3,7.31,7.32,7.29,1578800.0,11519538.0,20250102,7.31,-0.01,-0.14
000002.SZ,2025-01-02 09:33:00,7.3,7.3,7.31,7.3,925000.0,6756486.0,20250102,7.3,0.0,0.0
000002.SZ,2025-01-02 09:34:00,7.28,7.3,7.3,7.28,1402400.0,10227606.0,20250102,7.3,-0.02,-0.27
000002.SZ,2025-01-02 09:35:00,7.28,7.29,7.29,7.27,1499300.0,10915055.0,20250102,7.28,0.0,0.0
000002.SZ,2025-01-02 09:36:00,7.26,7.27,7.28,7.26,918200.0,6671708.0,20250102,7.28,-0.02,-0.27
000002.SZ,2025-01-02 09:37:00,7.28,7.26,7.28,7.26,575400.0,4181937.0,20250102,7.26,0.02,0.28
000002.SZ,2025-01-02 09:38:00,7.28,7.28,7.29,7.27,819300.0,5963993.0,20250102,7.28,0.0,0.0
000002.SZ,2025-01-02 09:39:00,7.3,7.28,7.3,7.28,957800.0,6987907.0,20250102,7.28,0.02,0.27
000002.SZ,2025-01-02 09:40:00,7.31,7.29,7.31,7.29,1373801.0,10025933.0,20250102,7.3,0.01,0.14
000002.SZ,2025-01-02 09:41:00,7.31,7.31,7.31,7.3,1362700.0,9960799.0,20250102,7.31,0.0,0.0
000002.SZ,2025-01-02 09:42:00,7.3,7.31,7.31,7.29,557100.0,4066880.0,20250102,7.31,-0.01,-0.14
000002.SZ,2025-01-02 09:43:00,7.29,7.29,7.3,7.29,470400.0,3432209.0,20250102,7.3,-0.01,-0.14
000002.SZ,2025-01-02 09:44:00,7.3,7.3,7.31,7.29,645200.0,4713130.0,20250102,7.29,0.01,0.14
000002.SZ,2025-01-02 09:45:00,7.33,7.3,7.34,7.3,2855900.0,20906534.0,20250102,7.3,0.03,0.41
000002.SZ,2025-01-02 09:46:00,7.31,7.33,7.33,7.31,1062000.0,7782029.0,20250102,7.33,-0.02,-0.27
000002.SZ,2025-01-02 09:47:00,7.32,7.32,7.33,7.31,452900.0,3316333.0,20250102,7.31,0.01,0.14
000002.SZ,2025-01-02 09:48:00,7.34,7.33,7.34,7.32,1138100.0,8344063.0,20250102,7.32,0.02,0.27
000002.SZ,2025-01-02 09:49:00,7.34,7.33,7.34,7.33,706400.0,5181682.0,20250102,7.34,0.0,0.0
000002.SZ,2025-01-02 09:50:00,7.33,7.34,7.34,7.32,496400.0,3639775.0,20250102,7.34,-0.01,-0.14
000002.SZ,2025-01-02 09:51:00,7.32,7.33,7.33,7.32,886300.0,6495373.0,20250102,7.33,-0.01,-0.14
000002.SZ,2025-01-02 09:52:00,7.33,7.33,7.33,7.32,374400.0,2743528.0,20250102,7.32,0.01,0.14
000002.SZ,2025-01-02 09:53:00,7.35,7.33,7.36,7.33,1748700.0,12841386.0,20250102,7.33,0.02,0.27
000002.SZ,2025-01-02 09:54:00,7.35,7.36,7.36,7.35,943700.0,6938009.0,20250102,7.35,0.0,0.0
000002.SZ,2025-01-02 09:55:00,7.34,7.35,7.35,7.34,307300.0,2256904.0,20250102,7.35,-0.01,-0.14
000002.SZ,2025-01-02 09:56:00,7.34,7.35,7.35,7.34,448300.0,3292278.0,20250102,7.34,0.0,0.0
